Year,Units,Territorio,Serie,Serie temporal,Umbral de pobreza,Value
2010,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.72
2011,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.65
2012,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.83
2013,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.38
2014,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.23
2015,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.13
2016,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.35
2017,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.61
2018,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.54
2019,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.66
2020,Porcentaje,España,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.97
2010,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.48
2011,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.37
2012,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.69
2013,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.30
2014,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.45
2015,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.23
2016,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.18
2017,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.62
2018,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.23
2019,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.49
2020,Porcentaje,España,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.71
2010,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.63
2011,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.82
2012,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.98
2013,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.69
2014,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.88
2015,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.51
2016,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.81
2017,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.69
2018,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.14
2019,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.59
2020,Porcentaje,España,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.65
2010,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,16.78
2011,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,16.90
2012,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.72
2013,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.11
2014,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.78
2015,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.43
2016,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.97
2017,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.18
2018,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.60
2019,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.16
2020,Porcentaje,España,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.76
2010,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,29.70
2011,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,30.10
2012,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,33.60
2013,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,28.40
2014,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,27.60
2015,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,28.50
2016,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,35.00
2017,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,30.50
2018,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,32.10
2019,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,28.50
2020,Porcentaje,ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,29.90
2010,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,23.80
2011,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.60
2012,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.10
2013,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,21.10
2014,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,21.70
2015,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,24.40
2016,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.60
2017,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,22.90
2018,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,23.70
2019,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,18.80
2020,Porcentaje,ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,22.00
2010,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.00
2011,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,27.70
2012,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,31.60
2013,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,23.40
2014,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.20
2015,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.50
2016,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,28.10
2017,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.90
2018,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,29.00
2019,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,22.70
2020,Porcentaje,ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,28.00
2010,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.40
2011,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,13.40
2012,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,19.70
2013,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.40
2014,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,19.20
2015,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,21.30
2016,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.70
2017,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.00
2018,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,21.20
2019,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.00
2020,Porcentaje,ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.50
